sep=,
DeviceTag:,Xsens_2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.2.1,,,,,,,,,,,,,,,,,
AppVersion:,2022.0.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Euler),,,,,,,,,,,,,,,,,
StartTime:,2023-05-16 13:58:40.381 +0200,,,,,,,,,,,,,,,,,
© Xsens Technologies B. V. 2005-2023,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
798, 977069769, -166.118896484375, 2.9496612548828125, 121.8000717163086, -0.11546758, -0.21890014, -0.3766613, 0
799, 977086436, -166.11244201660156, 2.956444263458252, 121.80089569091797, -0.09277433, -0.2382043, -0.39398193, 0
800, 977103103, -166.10205078125, 2.9676287174224854, 121.79922485351562, -0.029777095, -0.17459232, -0.38798237, 0
801, 977119770, -166.088623046875, 2.9800705909729004, 121.80023956298828, 0.029150687, -0.084919594, -0.40742397, 0
802, 977136437, -166.0734405517578, 2.986605405807495, 121.80193328857422, -0.060993277, -0.15346819, -0.4067068, 0
803, 977153104, -166.060302734375, 2.9908058643341064, 121.79981231689453, -0.10622509, -0.23086144, -0.3091898, 0
804, 977169771, -166.0520477294922, 2.998155355453491, 121.79813385009766, -0.11675071, -0.26472658, -0.2920456, 0
805, 977186438, -166.05239868164062, 3.004936456680298, 121.798828125, -0.06806157, -0.21919937, -0.35714626, 0
806, 977203105, -166.05630493164062, 3.009556531906128, 121.79528045654297, -0.04534346, -0.15792462, -0.40034962, 0
807, 977219772, -166.0424041748047, 3.0072054862976074, 121.79533386230469, 0.0011960178, -0.11590808, -0.3863907, 0
808, 977236439, -166.00791931152344, 2.9998271465301514, 121.79512786865234, -0.033439633, -0.17438598, -0.29695034, 0
809, 977253106, -165.96224975585938, 2.990966558456421, 121.79426574707031, -0.034106378, -0.1930941, -0.35003948, 0
810, 977269773, -165.9337921142578, 2.9855310916900635, 121.79097747802734, -0.09463868, -0.12173218, -0.38919067, 0
811, 977286440, -165.9178924560547, 2.9808080196380615, 121.79383087158203, -0.12293319, -0.17036545, -0.39441204, 0
812, 977303107, -165.89944458007812, 2.9737751483917236, 121.79279327392578, -0.03669429, -0.21578401, -0.41818905, 0
813, 977319774, -165.8701171875, 2.9633800983428955, 121.78824615478516, -0.044116512, -0.26258746, -0.49011135, 0
814, 977336441, -165.8490447998047, 2.9474902153015137, 121.77790069580078, -0.09255783, -0.23683695, -0.4343567, 0
815, 977353108, -165.8387908935547, 2.9299497604370117, 121.76809692382812, -0.10880733, -0.18000631, -0.3291254, 0
816, 977369775, -165.82827758789062, 2.9153361320495605, 121.76445770263672, -0.06849141, -0.110401504, -0.2689438, 0
817, 977386442, -165.80735778808594, 2.9039759635925293, 121.7665786743164, 0.001135905, -0.058384273, -0.34306717, 0
818, 977403109, -165.78126525878906, 2.8899800777435303, 121.7696533203125, -0.070587344, -0.09807935, -0.46128082, 0
819, 977419776, -165.7578125, 2.8738884925842285, 121.76821899414062, -0.15325457, -0.16368759, -0.4911766, 0
820, 977436443, -165.73851013183594, 2.863651752471924, 121.77565002441406, -0.13396864, -0.16775316, -0.4258089, 0
821, 977453110, -165.7210693359375, 2.8583321571350098, 121.78578186035156, -0.11321012, -0.09031148, -0.39096355, 0
822, 977469777, -165.7110137939453, 2.859349012374878, 121.7931900024414, -0.12166366, -0.06972622, -0.41103172, 0
823, 977486444, -165.7042694091797, 2.8598062992095947, 121.79795837402344, -0.15081394, -0.10023711, -0.3996544, 0
824, 977503111, -165.6997833251953, 2.855290174484253, 121.80511474609375, -0.07307066, -0.1504081, -0.32942677, 0
825, 977519778, -165.6937713623047, 2.8458731174468994, 121.81324005126953, -0.033632502, -0.13806671, -0.29884148, 0
826, 977536445, -165.68252563476562, 2.8346989154815674, 121.8250732421875, -0.049442574, -0.11416757, -0.29223824, 0
827, 977553112, -165.66421508789062, 2.824632406234741, 121.84512329101562, -0.060952317, -0.08389345, -0.4138832, 0
828, 977569779, -165.6524658203125, 2.8153302669525146, 121.85769653320312, -0.18866542, -0.15762337, -0.47172832, 0
829, 977586446, -165.64898681640625, 2.809173107147217, 121.86322784423828, -0.2032686, -0.21922189, -0.41697788, 0
830, 977603113, -165.64700317382812, 2.8067736625671387, 121.86561584472656, -0.061385125, -0.16350536, -0.4061079, 0
