43.0787964705849+0i,21.8572016491914-8.88178419700125e-16i,7.52618967286894+1.33226762955019e-15i
36.5498651702613+0i,5.42198494571073-6.66133814775094e-16i,32.6162172612553-1.77635683940025e-15i
36.748699465294+8.88178419700125e-16i,1.17266971229882-4.44089209850063e-16i,42.0147828688404+1.77635683940025e-15i
40.4371102558404+0i,14.163308797269-8.88178419700125e-16i,31.6827253030341-1.77635683940025e-15i
36.4303110635099+0i,27.1443859120837+0i,26.5637143708045+4.44089209850063e-16i
23.4749891185502+8.88178419700125e-16i,21.1082510671651+8.88178419700125e-16i,36.5912117697724-1.77635683940025e-15i
24.7451803255191+0i,13.3124640669485+0i,44.0152893286121+0i
38.9069521325423+1.77635683940025e-15i,19.5073893341619-8.88178419700125e-16i,30.6439131179422-8.88178419700125e-16i
52.4120292435632+0i,29.3519480226038+0i,10.207711519303+0i
48.8191240680702-1.77635683940025e-15i,27.2044209627743+8.88178419700125e-16i,5.29486152413401+1.11022302462516e-16i
35.0170947269844-8.88178419700125e-16i,29.6240076202003+8.88178419700125e-16i,15.8196598041718+8.88178419700125e-16i
24.1470290163108+8.88178419700125e-16i,41.4979454351031+1.77635683940025e-15i,24.1018268693566+0i
19.1727139895711+0i,52.9537205108896-1.77635683940025e-15i,24.9925693153905+0i
14.8193398846191-4.44089209850063e-16i,59.5714295297611+1.77635683940025e-15i,19.129450040143-8.88178419700125e-16i
13.5367792350818-4.44089209850063e-16i,59.2939907993308-3.5527136788005e-15i,14.4711320176136+0i
23.1279608697087+8.88178419700125e-16i,51.8717416475218+1.77635683940025e-15i,16.7069904526685+0i
32.7296781712395+0i,33.8080756310338+0i,21.2640927171034+8.88178419700125e-16i
21.5498491443095+0i,14.742951895654+0i,36.0835045466372-8.88178419700125e-16i
-0.574876257400543-4.44089209850063e-16i,10.8751731387088+2.22044604925031e-16i,51.7473103457693+1.77635683940025e-15i
-16.3536241570211+0i,17.8049782191712+8.88178419700125e-16i,57.9200346794527+0i
-6.15842821207669+4.44089209850063e-16i,22.6872834363474+0i,41.3780835440482+0i
4.63181790092609+8.88178419700125e-16i,21.3544194717418-4.44089209850063e-16i,2.34248780293292+0i
1.73662296476799-2.22044604925031e-16i,22.0537177496183+8.88178419700125e-16i,-29.1154648703092+0i
-22.3887242084483-8.88178419700125e-16i,24.7704662265164+0i,-41.1139756126622+0i
-54.3467811233973+3.5527136788005e-15i,13.1736300114196-8.88178419700125e-16i,-38.3974892722189+8.88178419700125e-16i
-69.2137154423582+0i,8.34321916425544+4.44089209850063e-16i,-43.800157423149-1.77635683940025e-15i
-60.1165437615998-1.77635683940025e-15i,27.1751753446498+8.88178419700125e-16i,-54.3326171125263+0i
-32.5133908908226+8.88178419700125e-16i,53.6546043714126+0i,-35.1537169722307+0i
-23.1489500169815+8.88178419700125e-16i,46.5488491861692+3.5527136788005e-15i,12.7252777822782+1.77635683940025e-15i
-16.4626536930391+0i,5.1490144670158-8.88178419700125e-16i,78.1957014887979+0i
38.0710981828785+1.77635683940025e-15i,-40.8414514374068+0i,151.205325973787+0i
168.201521551725+0i,-60.4282385861716+0i,245.860082214407+7.105427357601e-15i
298.892630441659+1.4210854715202e-14i,-88.0555930234238-1.77635683940025e-15i,371.749308983259+1.4210854715202e-14i
331.954248910697-1.4210854715202e-14i,-154.059391089102-7.105427357601e-15i,525.059591874317+0i
299.098225222369+1.4210854715202e-14i,-213.971068267015+1.4210854715202e-14i,672.772484296141-2.8421709430404e-14i
299.785601049765+0i,-202.221011765953-7.105427357601e-15i,761.864001742014+2.8421709430404e-14i
363.807716380837+0i,-129.574945585384+0i,798.527749896325+0i
386.233160103895-1.4210854715202e-14i,-86.1059859548966+1.77635683940025e-15i,817.722025823169+0i
335.987315505861+0i,-81.6657117076584+0i,833.582873019611+0i
245.90179922979-7.105427357601e-15i,-74.2610854000567+0i,807.772547735493-2.8421709430404e-14i
196.029375022163+7.105427357601e-15i,-47.6873614687473+1.77635683940025e-15i,753.553913417764-2.8421709430404e-14i
187.627362621957+0i,-15.700680525711+0i,657.869645411749-2.8421709430404e-14i
204.345414823825+7.105427357601e-15i,17.3954465627024-8.88178419700125e-16i,533.656506969078+2.8421709430404e-14i
